UBIGEO,"PROVINCIA
",HABIT_EN_POBREZA,HOGARES_INTERNET,CASOS_DEFENSORIAMUNI,RET_SEC,ALUM_MATRIC_SEC
010100,CHACHAPOYAS,12942.68091402,1 666,655,"2,0",5 440
010200,BAGUA,34184.4937897,954,363,"5,0",8 654
010300,BONGARÁ,9751.1018484,234,160,"2,7",2 372
010400,CONDORCANQUI,43128.36688464,57,71,"6,3",6 241
010500,LUYA,24472.46198369,271,275,"4,7",4 450
010600,RODRÍGUEZ DE MENDOZA,11073.26326491,195,121,"2,3",2 480
010700,UTCUBAMBA,37887.25635441,1 406,510,"3,5",10 493
020100,HUARAZ,26491.85133768,11 896,1 269,"1,7",14 539
020200,AIJA,2545.5590895,63,45,"2,9",684.0
020300,ANTONIO RAYMONDI,6593.72147921,30,80,"3,8",1 715
020400,ASUNCIÓN,2773.126031,43,33,"0,9",1 249
020500,BOLOGNESI,6891.76679121,183,498,"2,4",2 210
020600,CARHUAZ,16218.25221648,955,272,"2,5",4 099
020700,CARLOS F. FITZCARRALD,8417.36357327,76,156,"1,7",2 116
020800,CASMA,9959.8306695,1 955,1 932,"2,4",4 175
020900,CORONGO,3245.13185205,55,35,"1,2",748.0
021000,HUARI,24355.85049729,431,730,"1,0",5 892
021100,HUARMEY,5000.99983918,1 279,514,"3,1",2 482
021200,HUAYLAS,22505.65177959,1 345,780,"4,1",5 534
021300,MARISCAL LUZURIAGA,12339.52251996,35,413,"3,4",2 559
021400,OCROS,1844.5393556,46,92,"4,2",420.0
021500,PALLASCA,14308.9626216,102,155,"2,7",2 583
021600,POMABAMBA,11835.9965549,118,71,"2,6",3 321
021700,RECUAY,5434.69436265,231,125,"1,2",1 451
021800,SANTA,73204.3725624,37 722,6 063,"2,6",33 154
021900,SIHUAS,16437.37659008,275,336,"2,4",3 491
022000,YUNGAY,24835.83964416,642,688,"3,6",5 267
030100,ABANCAY,28991.17430216,6 487,1 533,"2,5",11 137
030200,ANDAHUAYLAS,62406.5856435,3 924,917,"1,7",15 618
030300,ANTABAMBA,4273.66818679,16,184,"1,1",1 132
030400,AYMARAES,10573.38902228,250,286,"1,5",2 609
030500,COTABAMBAS,23825.98160991,306,416,"2,9",6 045
030600,CHINCHEROS,23507.78887008,239,434,"2,7",5 542
030700,GRAU,11453.45158465,29,492,"1,8",2 428
040100,AREQUIPA,79247.17565252,126 928,7 025,"0,8",83 264
040200,CAMANÁ,8640.47840616,3 284,500,"1,2",4 944
040300,CARAVELÍ,4584.9395828,1 312,693,"2,2",3 005
040400,CASTILLA,6512.38896156,1 230,1 144,"0,7",2 979
040500,CAYLLOMA,18088.18626702,3 281,6 114,"1,4",7 504
040600,CONDESUYOS,3430.61653383,272,169,"1,3",1 407
040700,ISLAY,6086.64153672,3 542,571,"1,4",3 997
040800,LA UNIÓN,5747.13162998,44,114,"1,6",1 222
050100,HUAMANGA,76482.97057752,16 018,2 834,"2,3",29 359
050200,CANGALLO,17642.1060924,161,343,"2,9",3 503
050300,HUANCA SANCOS,4338.48531664,10,66,"1,4",869.0
050400,HUANTA,46320.35672228,1 694,1 730,"4,2",10 482
050500,LA MAR,40138.10282898,525,1 278,"5,0",8 773
050600,LUCANAS,20094.11545056,352,460,"2,0",4 791
050700,PARINACOCHAS,9987.64896646,280,346,"1,2",2 710
050800,PÁUCAR DEL SARA SARA,2728.69527028,96,337,"0,9",919.0
050900,SUCRE,4854.7249893,68,208,"2,3",1 142
051000,FAJARDO,11844.3538996,104,214,"2,9",1 935
051100,VILCAS HUAMÁN,9743.16810368,36,618,"2,6",1 946
060100,CAJAMARCA,136834.40429692,23 123,802,"2,2",29 679
060200,CAJABAMBA,47331.6067202,1 104,160,"3,8",6 642
060300,CELENDÍN,56750.7323445,1 047,462,"4,9",8 283
060400,CHOTA,99092.26894554,2 159,292,"2,6",14 540
060500,CONTUMAZÁ,13442.20950614,439,99,"2,3",2 414
060600,CUTERVO,80376.63140014,1 367,934,"3,0",13 396
060700,HUALGAYOC,51949.46352305,1 030,439,"2,5",7 431
060800,JAÉN,90986.64551244,4 593,479,"2,8",18 599
060900,SAN IGNACIO,81895.4721784,782,3 858,"3,1",15 040
061000,SAN MARCOS,33137.796559,387,572,"5,4",4 408
061100,SAN MIGUEL,28204.94927376,251,208,"2,7",4 426
061200,SAN PABLO,17633.76145398,202,153,"4,2",2 015
061300,SANTA CRUZ,23152.86468408,257,171,"3,9",4 251
070100,CALLAO,193912.59464962,117 689,14 152,"2,0",74 749
080100,CUSCO,40975.12932534,46 687,12 802,"1,4",38 228
080200,ACOMAYO,10899.3625264,65,220,"1,5",3 027
080300,ANTA,19643.99888617,952,592,"1,5",6 096
080400,CALCA,26068.44776019,1 043,1 078,"2,4",6 999
080500,CANAS,20560.59500383,55,508,"2,7",4 346
080600,CANCHIS,32450.01035184,4 518,2 727,"2,0",11 141
080700,CHUMBIVILCAS,39266.18462745,229,1 282,"2,6",9 117
080800,ESPINAR,20989.45512279,865,621,"1,5",6 555
080900,LA CONVENCIÓN,54738.09985446,1 943,3 418,"3,1",15 929
081000,PARURO,14059.658025,85,761,"1,6",2 935
081100,PAUCARTAMBO,25184.62167408,186,552,"4,1",5 032
081200,QUISPICANCHI,43166.0148534,1 305,2 580,"2,6",9 976
081300,URUBAMBA,18776.6122871,2 107,1 667,"1,8",5 946
090100,HUANCAVELICA,47147.59936194,3 615,2 420,"2,6",13 911
090200,ACOBAMBA,20068.3913985,313,133,"3,0",5 145
090300,ANGARAES,27561.80689491,486,471,"1,9",6 479
090400,CASTROVIRREYNA,6845.0857695,30,156,"3,9",1 596
090500,CHURCAMPA,16252.92556365,113,301,"3,4",4 423
090600,HUAYTARÁ,6916.99444268,40,310,"5,4",1 835
090700,TAYACAJA,45336.94868242,633,881,"2,7",10 651
100100,HUÁNUCO,69783.30706552,14 095,2 785,"3,8",26 870
100200,AMBO,21116.9899344,818,368,"4,2",4 839
100300,DOS DE MAYO,16535.71366125,176,164,"4,1",4 178
100400,HUACAYBAMBA,10160.0433747,35,370,"2,0",2 613
100500,HUAMALÍES,25147.0888608,229,377,"4,5",6 395
100600,LEONCIO PRADO,25771.31910571,6 011,929,"2,4",11 199
100700,MARAÑÓN,11992.20768432,70,265,"5,3",3 079
100800,PACHITEA,29719.58906071,382,531,"6,0",5 460
100900,PUERTO INCA,10322.99222976,133,1 293,"6,2",2 676
101000,LAURICOCHA,8481.70803945,68,358,"2,2",2 197
101100,YAROWILCA,14805.05496048,61,227,"4,3",3 494
110100,ICA,13559.66178105,35 688,4 370,"2,0",29 672
110200,CHINCHA,7891.14773034,13 506,1 341,"2,6",18 225
110300,NASCA,2515.95544833,4 667,711,"1,9",5 738
110400,PALPA,753.247677,373,129,"2,2",1 146
110500,PISCO,6108.91837696,11 037,2 531,"2,0",11 661
120100,HUANCAYO,78902.31883684,40 411,2 488,"2,0",51 846
120200,CONCEPCIÓN,18150.10500884,1 502,678,"2,4",5 395
120300,CHANCHAMAYO,46437.48446467,4 081,1 321,"3,1",14 670
120400,JAUJA,22658.32223391,2 110,618,"1,9",7 810
120500,JUNÍN,8456.7283668,395,103,"3,0",2 161
120600,SATIPO,73636.14924552,2 188,2 016,"4,0",17 382
120700,TARMA,23401.87796002,3 592,635,"2,7",7 891
120800,YAULI,5415.82491534,1 825,347,"1,4",3 282
120900,CHUPACA,13617.00953393,1 096,352,"1,5",4 782
130100,TRUJILLO,160164.970875,104 086,2 989,"2,5",72 671
130200,ASCOPE,28919.70123042,8 434,1 061,"1,9",8 635
130300,BOLÍVAR,9372.03866052,61,68,"4,0",1 756
130400,CHEPÉN,24656.7769893,3 865,149,"2,9",6 505
130500,JULCÁN,19342.19536826,214,361,"5,2",2 638
130600,OTUZCO,48344.59223138,499,327,"3,1",6 720
130700,PACASMAYO,26834.57540724,6 678,1 856,"2,9",8 572
130800,PATAZ,40772.55272,491,750,"3,5",8 862
130900,SÁNCHEZ CARRIÓN,87742.81384473,1 483,628,"3,6",15 126
131000,SANTIAGO DE CHUCO,28002.95372861,382,310,"5,0",5 657
131100,GRAN CHIMÚ,13809.14856942,258,352,"3,5",2 298
131200,VIRÚ,35741.09942396,2 931,362,"4,8",7 384
140100,CHICLAYO,109461.55862898,74 540,3 983,"2,0",65 834
140200,FERREÑAFE,33329.13993981,3 801,594,"2,9",9 074
140300,LAMBAYEQUE,86174.68026533,10 427,652,"2,7",25 317
150100,PROVINCIA DE LIMA,2678763.675,1 171 306,100 914,"1,6",652 542
150200,BARRANCA,19904.5987196,11 008,907,"2,1",11 941
150300,CAJATAMBO,2428.41082653,24,120,"3,4",703.0
150400,CANTA,2048.19815431,157,86,"3,3",958.0
150500,CAÑETE,36831.97419608,14 681,3 707,"2,4",19 866
150600,HUARAL,25427.88844848,13 778,1 013,"2,4",15 075
150700,HUAROCHIRÍ,18348.56771232,2 031,1 200,"2,0",8 203
150800,HUAURA,33268.62281472,19 867,733,"2,0",17 426
150900,OYÓN,4280.44559667,300,201,"2,8",1 661
151000,YAUYOS,6845.27928488,22,351,"3,0",1 791
160100,MAYNAS,130321.91833744,21 390,6 003,"3,4",44 441
160200,ALTO AMAZONAS,55383.76158133,2 365,819,"5,0",10 940
160300,LORETO,38103.7918434,361,331,"3,4",6 546
160400,MARISCAL RAMÓN CASTILLA,35921.8713225,102,374,"5,6",5 177
160500,REQUENA,37824.8517744,326,575,"2,0",5 868
160600,UCAYALI,31901.41085714,265,318,"3,0",6 333
160700,DATEM DEL MARAÑÓN,35780.80621992,227,503,"10,1",5 532
160800,PUTUMAYO,4797.94280416,17,49,"7,1",655.0
170100,TAMBOPATA,7544.14292451,6 430,2 081,"3,6",10 597
170200,MANU,1219.49327376,139,205,"3,8",1 591
170300,TAHUAMANU,627.95572532,239,161,"5,9",869.0
180100,MARISCAL NIETO,7782.542532,7 042,284,"1,1",6 821
180200,GENERAL SÁNCHEZ CERRO,3259.1815099,160,107,"1,9",1 007
180300,ILO,5136.67048475,7 560,844,"0,5",6 115
190100,PASCO,43811.45404104,4 392,476,"1,3",10 890
190200,DANIEL ALCIDES CARRIÓN,20063.38314926,156,150,"2,4",2 279
190300,OXAPAMPA,38813.50193168,2 078,2 050,"5,2",9 279
200100,PIURA,197949.83242527,50 504,4 217,"2,3",65 023
200200,AYABACA,84796.48277562,446,570,"3,1",14 354
200300,HUANCABAMBA,66864.93693888,908,716,"4,2",12 735
200400,MORROPÓN,66160.58349824,2 687,701,"2,6",15 015
200500,PAITA,31315.31584216,5 074,2 129,"2,5",10 462
200600,SULLANA,77066.0521791,15 059,1 933,"2,7",26 731
200700,TALARA,24286.80843277,8 765,2 183,"2,4",11 200
200800,SECHURA,24669.67264068,2 950,407,"3,1",6 386
210100,PUNO,66407.25923216,11 659,1 052,"1,1",19 168
210200,AZÁNGARO,56169.9980373,677,1 241,"2,9",12 013
210300,CARABAYA,33560.46221106,354,1 550,"1,7",7 187
210400,CHUCUITO,39872.84557524,886,574,"3,0",7 119
210500,EL COLLAO,29244.45386837,575,2 083,"2,0",6 278
210600,HUANCANÉ,30574.74075864,320,140,"1,4",4 902
210700,LAMPA,22765.15661332,562,572,"2,9",2 935
210800,MELGAR,31459.3548462,610,2 604,"2,1",7 586
210900,MOHO,12992.3356017,46,221,"1,8",1 779
211000,SAN ANTONIO DE PUTINA,12517.63811444,201,370,"1,4",2 915
211100,SAN ROMÁN,75478.53725557,14 659,2 276,"1,5",30 827
211200,SANDIA,21805.99671096,32,493,"3,6",4 850
211300,YUNGUYO,18095.3899168,343,344,"2,5",3 301
220100,MOYOBAMBA,32254.77760554,5 176,1 257,"2,8",11 751
